close_time,resistance,support
1657757699999.0,0.0,0.0
1657757999999.0,0.0,0.0
1657758299999.0,20298.52,20298.52
1657758599999.0,20298.52,20298.52
1657758899999.0,20298.52,20298.52
1657759199999.0,20298.52,20298.52
1657759499999.0,20298.52,20298.52
1657759799999.0,20298.52,20298.52
1657760099999.0,20298.52,20298.52
1657760399999.0,20298.52,20298.52
1657760699999.0,20359.89,20359.89
1657760999999.0,20359.89,20359.89
1657761299999.0,20359.89,20359.89
1657761599999.0,20359.89,20359.89
1657761899999.0,20359.89,20359.89
1657762199999.0,20359.89,20359.89
1657762499999.0,20359.89,20359.89
1657762799999.0,20359.89,20359.89
1657763099999.0,20359.89,20359.89
1657763399999.0,20359.89,20359.89
1657763699999.0,20359.89,20359.89
1657763999999.0,20359.89,20359.89
1657764299999.0,20359.89,20359.89
1657764599999.0,20359.89,20359.89
1657764899999.0,20359.89,20359.89
1657765199999.0,20359.89,20359.89
1657765499999.0,20359.89,20359.89
1657765799999.0,20359.89,20359.89
1657766099999.0,20359.89,20359.89
1657766399999.0,20359.89,20359.89
1657766699999.0,20359.89,20359.89
1657766999999.0,20359.89,20359.89
1657767299999.0,20359.89,20359.89
1657767599999.0,20359.89,20359.89
1657767899999.0,20359.89,20359.89
1657768199999.0,20359.89,20359.89
1657768499999.0,20359.89,20359.89
1657768799999.0,20359.89,20359.89
1657769099999.0,20359.89,20359.89
1657769399999.0,20359.89,20359.89
1657769699999.0,20359.89,20359.89
1657769999999.0,20359.89,20359.89
1657770299999.0,20359.89,20359.89
1657770599999.0,20359.89,20359.89
1657770899999.0,20359.89,20359.89
1657771199999.0,20359.89,20359.89
1657771499999.0,20359.89,20359.89
1657771799999.0,20359.89,20359.89
1657772099999.0,20359.89,20359.89
1657772399999.0,20359.89,20359.89
1657772699999.0,20359.89,20359.89
1657772999999.0,20359.89,20359.89
1657773299999.0,20359.89,20359.89
1657773599999.0,20359.89,20359.89
1657773899999.0,20359.89,20359.89
1657774199999.0,20359.89,20359.89
1657774499999.0,20359.89,20359.89
1657774799999.0,20359.89,20359.89
1657775099999.0,20359.89,20359.89
1657775399999.0,20359.89,20359.89
1657775699999.0,20359.89,20359.89
1657775999999.0,20359.89,20359.89
1657776299999.0,20359.89,20359.89
1657776599999.0,20359.89,20359.89
1657776899999.0,20359.89,20359.89
1657777199999.0,20359.89,20359.89
1657777499999.0,20359.89,20359.89
1657777799999.0,20359.89,20359.89
1657778099999.0,20359.89,20359.89
1657778399999.0,20359.89,20359.89
1657778699999.0,20359.89,20359.89
1657778999999.0,20359.89,20359.89
1657779299999.0,20359.89,20359.89
1657779599999.0,20359.89,20359.89
1657779899999.0,20359.89,20359.89
1657780199999.0,20359.89,20359.89
1657780499999.0,20359.89,20359.89
1657780799999.0,20359.89,20359.89
1657781099999.0,20359.89,20359.89
1657781399999.0,20359.89,20359.89
1657781699999.0,20359.89,20359.89
1657781999999.0,20359.89,20359.89
1657782299999.0,20359.89,20359.89
1657782599999.0,20023.69,20023.69
1657782899999.0,20023.69,20023.69
1657783199999.0,20023.69,20023.69
1657783499999.0,20023.69,20023.69
1657783799999.0,20023.69,20023.69
1657784099999.0,20023.69,20023.69
1657784399999.0,20023.69,20023.69
1657784699999.0,20023.69,20023.69
1657784999999.0,20023.69,20023.69
1657785299999.0,20023.69,20023.69
1657785599999.0,20023.69,20023.69
1657785899999.0,20023.69,20023.69
1657786199999.0,20023.69,20023.69
1657786499999.0,20033.12,20033.12
1657786799999.0,20033.12,20033.12
1657787099999.0,20033.12,20033.12
1657787399999.0,20033.12,20033.12
1657787699999.0,20033.12,20033.12
1657787999999.0,20033.12,20033.12
1657788299999.0,20033.12,20033.12
1657788599999.0,20033.12,20033.12
1657788899999.0,20033.12,20033.12
1657789199999.0,20033.12,20033.12
1657789499999.0,20033.12,20033.12
1657789799999.0,20033.12,20033.12
1657790099999.0,20033.12,20033.12
1657790399999.0,20033.12,20033.12
1657790699999.0,20033.12,20033.12
1657790999999.0,20033.12,20033.12
1657791299999.0,20033.12,20033.12
1657791599999.0,20033.12,20033.12
1657791899999.0,20033.12,20033.12
1657792199999.0,20033.12,20033.12
1657792499999.0,20033.12,20033.12
1657792799999.0,20033.12,20033.12
1657793099999.0,20033.12,20033.12
1657793399999.0,20033.12,20033.12
1657793699999.0,20033.12,20033.12
1657793999999.0,20033.12,20033.12
1657794299999.0,20033.12,20033.12
1657794599999.0,20033.12,20033.12
1657794899999.0,20033.12,20033.12
1657795199999.0,20033.12,20033.12
1657795499999.0,20033.12,20033.12
1657795799999.0,20033.12,20033.12
1657796099999.0,20033.12,20033.12
1657796399999.0,20033.12,20033.12
1657796699999.0,20033.12,20033.12
1657796999999.0,20033.12,20033.12
1657797299999.0,20033.12,20033.12
1657797599999.0,20033.12,20033.12
1657797899999.0,20033.12,20033.12
1657798199999.0,20033.12,20033.12
1657798499999.0,20033.12,20033.12
1657798799999.0,19703.29,19703.29
1657799099999.0,19703.29,19703.29
1657799399999.0,19703.29,19703.29
1657799699999.0,19703.29,19703.29
1657799999999.0,19703.29,19703.29
1657800299999.0,19756.26,19756.26
1657800599999.0,19756.26,19756.26
1657800899999.0,19756.26,19756.26
1657801199999.0,19756.26,19756.26
1657801499999.0,19775.27,19775.27
1657801799999.0,19775.27,19775.27
1657802099999.0,19775.27,19775.27
1657802399999.0,19775.27,19775.27
1657802699999.0,19775.27,19775.27
1657802999999.0,19829.61,19829.61
1657803299999.0,19829.61,19829.61
1657803599999.0,19829.61,19829.61
1657803899999.0,19829.61,19829.61
1657804199999.0,19829.61,19829.61
1657804499999.0,19829.61,19829.61
1657804799999.0,19829.61,19829.61
1657805099999.0,19829.61,19829.61
1657805399999.0,19829.61,19829.61
1657805699999.0,19829.61,19829.61
1657805999999.0,19829.61,19829.61
1657806299999.0,19829.61,19829.61
1657806599999.0,19829.61,19829.61
1657806899999.0,19829.61,19829.61
1657807199999.0,19829.61,19829.61
1657807499999.0,19829.61,19829.61
1657807799999.0,19829.61,19829.61
1657808099999.0,19829.61,19829.61
1657808399999.0,19829.61,19829.61
1657808699999.0,19829.61,19829.61
1657808999999.0,19829.61,19829.61
1657809299999.0,19829.61,19829.61
1657809599999.0,19829.61,19829.61
1657809899999.0,19829.61,19829.61
1657810199999.0,19829.61,19829.61
1657810499999.0,19829.61,19829.61
1657810799999.0,19829.61,19829.61
1657811099999.0,19934.11,19934.11
1657811399999.0,19934.11,19934.11
1657811699999.0,19934.11,19934.11
1657811999999.0,20054.68,20054.68
1657812299999.0,20054.68,20054.68
1657812599999.0,20054.68,20054.68
1657812899999.0,20178.2,20178.2
1657813199999.0,20178.2,20178.2
1657813499999.0,20178.2,20178.2
1657813799999.0,20178.2,20178.2
1657814099999.0,20178.2,20178.2
1657814399999.0,20433.98,20433.98
1657814699999.0,20433.98,20433.98
1657814999999.0,20433.98,20433.98
1657815299999.0,20474.91,20474.91
1657815599999.0,20474.91,20474.91
1657815899999.0,20474.91,20474.91
1657816199999.0,20474.91,20474.91
1657816499999.0,20474.91,20474.91
1657816799999.0,20474.91,20474.91
1657817099999.0,20474.91,20474.91
1657817399999.0,20474.91,20474.91
1657817699999.0,20474.91,20474.91
1657817999999.0,20474.91,20474.91
1657818299999.0,20474.91,20474.91
1657818599999.0,20474.91,20474.91
1657818899999.0,20474.91,20474.91
1657819199999.0,20474.91,20474.91
1657819499999.0,20474.91,20474.91
1657819799999.0,20474.91,20474.91
1657820099999.0,20474.91,20474.91
1657820399999.0,20598.83,20598.83
1657820699999.0,20598.83,20598.83
1657820999999.0,20598.83,20598.83
1657821299999.0,20598.83,20598.83
1657821599999.0,20598.83,20598.83
1657821899999.0,20598.83,20598.83
1657822199999.0,20738.17,20738.17
1657822499999.0,20738.17,20738.17
1657822799999.0,20738.17,20738.17
1657823099999.0,20738.17,20738.17
1657823399999.0,20738.17,20738.17
1657823699999.0,20738.17,20738.17
1657823999999.0,20738.17,20738.17
1657824299999.0,20738.17,20738.17
1657824599999.0,20738.17,20738.17
1657824899999.0,20738.17,20738.17
1657825199999.0,20738.17,20738.17
1657825499999.0,20738.17,20738.17
1657825799999.0,20738.17,20738.17
1657826099999.0,20744.03,20744.03
1657826399999.0,20744.03,20744.03
1657826699999.0,20744.03,20744.03
1657826999999.0,20744.03,20744.03
1657827299999.0,20744.03,20744.03
1657827599999.0,20779.44,20779.44
1657827899999.0,20779.44,20779.44
1657828199999.0,20779.44,20779.44
1657828499999.0,20779.44,20779.44
1657828799999.0,20779.44,20779.44
1657829099999.0,20779.44,20779.44
1657829399999.0,20779.44,20779.44
1657829699999.0,20779.44,20779.44
1657829999999.0,20779.44,20779.44
1657830299999.0,20779.44,20779.44
1657830599999.0,20779.44,20779.44
1657830899999.0,20779.44,20779.44
1657831199999.0,20779.44,20779.44
1657831499999.0,20779.44,20779.44
1657831799999.0,20779.44,20779.44
1657832099999.0,20779.44,20779.44
1657832399999.0,20779.44,20779.44
1657832699999.0,20779.44,20779.44
1657832999999.0,20779.44,20779.44
1657833299999.0,20779.44,20779.44
1657833599999.0,20779.44,20779.44
1657833899999.0,20779.44,20779.44
1657834199999.0,20779.44,20779.44
1657834499999.0,20779.44,20779.44
1657834799999.0,20779.44,20779.44
1657835099999.0,20779.44,20779.44
1657835399999.0,20779.44,20779.44
1657835699999.0,20779.44,20779.44
1657835999999.0,20779.44,20779.44
1657836299999.0,20779.44,20779.44
1657836599999.0,20779.44,20779.44
1657836899999.0,20779.44,20779.44
1657837199999.0,20779.44,20779.44
1657837499999.0,20779.44,20779.44
1657837799999.0,20779.44,20779.44
1657838099999.0,20779.44,20779.44
1657838399999.0,20779.44,20779.44
1657838699999.0,20779.44,20779.44
1657838999999.0,20779.44,20779.44
1657839299999.0,20779.44,20779.44
1657839599999.0,20779.44,20779.44
1657839899999.0,20779.44,20779.44
1657840199999.0,20779.44,20779.44
1657840499999.0,20779.44,20779.44
1657840799999.0,20779.44,20779.44
1657841099999.0,20779.44,20779.44
1657841399999.0,20779.44,20779.44
1657841699999.0,20779.44,20779.44
1657841999999.0,20779.44,20779.44
1657842299999.0,20779.44,20779.44
1657842599999.0,20779.44,20779.44
