1658611500000,22288.47000000,22324.99000000,22287.10000000,22296.98000000,168.92335000,1658611799999,3767473.10023890,5821,90.94880000,2028640.62424370,0
1658611800000,22296.49000000,22302.64000000,22280.99000000,22286.92000000,92.75889000,1658612099999,2067964.45330120,3559,57.29436000,1277339.18552670,0
1658612100000,22287.82000000,22288.20000000,22225.64000000,22256.23000000,170.86839000,1658612399999,3803209.45223450,7337,70.81857000,1576261.72073060,0
1658612400000,22258.44000000,22269.99000000,22233.36000000,22262.72000000,129.79506000,1658612699999,2887983.75918220,5231,61.73022000,1373556.29378300,0
1658612700000,22262.72000000,22267.75000000,22244.56000000,22251.05000000,101.91947000,1658612999999,2268293.13173910,6105,49.73776000,1106982.09987470,0
1658613000000,22248.59000000,22258.33000000,22221.54000000,22242.45000000,147.38796000,1658613299999,3277505.05298760,6587,59.47898000,1322768.12847770,0
1658613300000,22240.20000000,22249.99000000,22232.15000000,22243.32000000,115.10801000,1658613599999,2560158.82257050,5855,54.83911000,1219747.55839240,0
1658613600000,22244.84000000,22278.00000000,22231.89000000,22270.01000000,239.20944000,1658613899999,5324433.50199640,9437,115.97536000,2581624.12671120,0
1658613900000,22270.01000000,22308.47000000,22251.01000000,22294.08000000,306.35182000,1658614199999,6827359.25839000,9557,161.02401000,3588603.55798070,0
1658614200000,22294.35000000,22304.96000000,22266.95000000,22270.13000000,243.86943000,1658614499999,5436684.63829080,8095,107.79115000,2403025.64011900,0
1658614500000,22267.47000000,22301.27000000,22262.79000000,22289.41000000,263.72295000,1658614799999,5876563.80972710,8813,135.26930000,3014398.79546840,0
1658614800000,22291.52000000,22473.75000000,22289.41000000,22422.00000000,1393.66050000,1658615099999,31219502.10761840,27933,795.98702000,17832242.98712800,0
1658615100000,22422.00000000,22472.19000000,22396.70000000,22407.07000000,801.10533000,1658615399999,17971686.19951210,17592,379.76788000,8519802.11018210,0
1658615400000,22407.07000000,22489.00000000,22405.92000000,22481.93000000,696.35722000,1658615699999,15636836.83651330,17870,388.86183000,8732649.15051690,0
1658615700000,22481.93000000,22517.10000000,22452.28000000,22461.35000000,931.15117000,1658615999999,20942679.27503610,20583,493.85839000,11108167.67795520,0
1658616000000,22461.35000000,22474.88000000,22433.28000000,22437.92000000,321.68056000,1658616299999,7224766.69222420,8989,127.71952000,2868660.59110230,0
1658616300000,22437.92000000,22483.72000000,22429.11000000,22475.32000000,394.56051000,1658616599999,8861449.87109810,10075,189.68117000,4260302.30648270,0
1658616600000,22473.52000000,22501.51000000,22469.92000000,22483.97000000,352.23090000,1658616899999,7919301.91092370,9135,220.67797000,4961656.65751880,0
1658616900000,22481.98000000,22500.00000000,22468.47000000,22469.08000000,264.05199000,1658617199999,5937907.38120470,8862,125.24940000,2816643.82129540,0
1658617200000,22469.08000000,22548.00000000,22447.01000000,22480.34000000,792.12029000,1658617499999,17816776.63214480,18806,406.26344000,9138977.43351980,0
1658617500000,22477.25000000,22544.56000000,22471.77000000,22504.05000000,560.67423000,1658617799999,12627067.77838080,13224,269.30093000,6064807.39491790,0
1658617800000,22504.05000000,22526.24000000,22499.00000000,22508.51000000,265.32233000,1658618099999,5972522.88837880,7689,151.63706000,3413596.97055840,0
1658618100000,22506.04000000,22527.38000000,22493.45000000,22500.58000000,224.18066000,1658618399999,5045666.33146820,8497,116.67743000,2626196.83449840,0
